Z-1-А;Z-1-Б;Z-2-А;Z-2-Б;Z-3-А;Z-3-Б;Z-4-А;Z-4-Б;Z-5-А;Z-5-Б;Z-6-А;Z-6-Б;Z-7-А;Z-7-Б;Z-8-А;Z-8-Б;Z-9-А;Z-9-Б;Z-10-А;Z-10-Б;Z-11-А;Z-11-Б;Z-12-А;Z-12-Б;Z-13-А;Z-13-Б;Z-14-А;Z-14-Б;Z-15-А;Z-15-Б;Z-16-А;Z-16-Б;Z-17-А;Z-17-Б;Z-18-А;Z-18-Б;Z-19-А;Z-19-Б;Z-20-А;Z-20-Б;Z-21-А;Z-21-Б;Z-22-А;Z-22-Б;Z-23-А;Z-23-Б;Z-24-А;Z-24-Б;Z-25-А;Z-25-Б;Z-26-А;Z-26-Б;Z-27-А;Z-27-Б;Z-28-А;Z-28-Б;Z-29-А;Z-29-Б;Z-30-А;Z-30-Б;Z-31-А;Z-31-Б;Z-32-А;Z-32-Б;Z-33-А;Z-33-Б;Z-34-А;Z-34-Б;Z-35-А;Z-35-Б;Z-36-А;Z-36-Б;Z-37-А;Z-37-Б;Z-38-А;Z-38-Б;Z-39-А;Z-39-Б;Z-40-А;Z-40-Б;Z-41-А;Z-41-Б;Z-42-А;Z-42-Б;Z-43-А;Z-43-Б;Z-44-А;Z-44-Б;Z-45-А;Z-45-Б;Z-46-А;Z-46-Б;Z-47-А;Z-47-Б;Z-48-А;Z-48-Б;Z-49-А;Z-49-Б;Z-50-А;Z-50-Б;Z-51-А;Z-51-Б;Z-52-А;Z-52-Б;Z-53-А;Z-53-Б;Z-54-А;Z-54-Б;Z-55-А;Z-55-Б;Z-56-А;Z-56-Б;Z-57-А;Z-57-Б;Z-58-А;Z-58-Б;Z-59-А;Z-59-Б;Z-60-А;Z-60-Б
J-1-В;J-1-Г;J-2-В;J-2-Г;J-3-В;J-3-Г;J-4-В;J-4-Г;J-5-В;J-5-Г;J-6-В;J-6-Г;J-7-В;J-7-Г;J-8-В;J-8-Г;J-9-В;J-9-Г;J-10-В;J-10-Г;J-11-В;J-11-Г;J-12-В;J-12-Г;J-13-В;J-13-Г;J-14-В;J-14-Г;J-15-В;J-15-Г;J-16-В;J-16-Г;J-17-В;J-17-Г;J-18-В;J-18-Г;J-19-В;J-19-Г;J-20-В;J-20-Г;J-21-В;J-21-Г;J-22-В;J-22-Г;J-23-В;J-23-Г;J-24-В;J-24-Г;J-25-В;J-25-Г;J-26-В;J-26-Г;J-27-В;J-27-Г;J-28-В;J-28-Г;J-29-В;J-29-Г;J-30-В;J-30-Г;J-31-В;J-31-Г;J-32-В;J-32-Г;J-33-В;J-33-Г;J-34-В;J-34-Г;J-35-В;J-35-Г;J-36-В;J-36-Г;J-37-В;J-37-Г;J-38-В;J-38-Г;J-39-В;J-39-Г;J-40-В;J-40-Г;J-41-В;J-41-Г;J-42-В;J-42-Г;J-43-В;J-43-Г;J-44-В;J-44-Г;J-45-В;J-45-Г;J-46-В;J-46-Г;J-47-В;J-47-Г;J-48-В;J-48-Г;J-49-В;J-49-Г;J-50-В;J-50-Г;J-51-В;J-51-Г;J-52-В;J-52-Г;J-53-В;J-53-Г;J-54-В;J-54-Г;J-55-В;J-55-Г;J-56-В;J-56-Г;J-57-В;J-57-Г;J-58-В;J-58-Г;J-59-В;J-59-Г;J-60-В;J-60-Г
I-1-А;I-1-Б;I-2-А;I-2-Б;I-3-А;I-3-Б;I-4-А;I-4-Б;I-5-А;I-5-Б;I-6-А;I-6-Б;I-7-А;I-7-Б;I-8-А;I-8-Б;I-9-А;I-9-Б;I-10-А;I-10-Б;I-11-А;I-11-Б;I-12-А;I-12-Б;I-13-А;I-13-Б;I-14-А;I-14-Б;I-15-А;I-15-Б;I-16-А;I-16-Б;I-17-А;I-17-Б;I-18-А;I-18-Б;I-19-А;I-19-Б;I-20-А;I-20-Б;I-21-А;I-21-Б;I-22-А;I-22-Б;I-23-А;I-23-Б;I-24-А;I-24-Б;I-25-А;I-25-Б;I-26-А;I-26-Б;I-27-А;I-27-Б;I-28-А;I-28-Б;I-29-А;I-29-Б;I-30-А;I-30-Б;I-31-А;I-31-Б;I-32-А;I-32-Б;I-33-А;I-33-Б;I-34-А;I-34-Б;I-35-А;I-35-Б;I-36-А;I-36-Б;I-37-А;I-37-Б;I-38-А;I-38-Б;I-39-А;I-39-Б;I-40-А;I-40-Б;I-41-А;I-41-Б;I-42-А;I-42-Б;I-43-А;I-43-Б;I-44-А;I-44-Б;I-45-А;I-45-Б;I-46-А;I-46-Б;I-47-А;I-47-Б;I-48-А;I-48-Б;I-49-А;I-49-Б;I-50-А;I-50-Б;I-51-А;I-51-Б;I-52-А;I-52-Б;I-53-А;I-53-Б;I-54-А;I-54-Б;I-55-А;I-55-Б;I-56-А;I-56-Б;I-57-А;I-57-Б;I-58-А;I-58-Б;I-59-А;I-59-Б;I-60-А;I-60-Б
I-1-В;I-1-Г;I-2-В;I-2-Г;I-3-В;I-3-Г;I-4-В;I-4-Г;I-5-В;I-5-Г;I-6-В;I-6-Г;I-7-В;I-7-Г;I-8-В;I-8-Г;I-9-В;I-9-Г;I-10-В;I-10-Г;I-11-В;I-11-Г;I-12-В;I-12-Г;I-13-В;I-13-Г;I-14-В;I-14-Г;I-15-В;I-15-Г;I-16-В;I-16-Г;I-17-В;I-17-Г;I-18-В;I-18-Г;I-19-В;I-19-Г;I-20-В;I-20-Г;I-21-В;I-21-Г;I-22-В;I-22-Г;I-23-В;I-23-Г;I-24-В;I-24-Г;I-25-В;I-25-Г;I-26-В;I-26-Г;I-27-В;I-27-Г;I-28-В;I-28-Г;I-29-В;I-29-Г;I-30-В;I-30-Г;I-31-В;I-31-Г;I-32-В;I-32-Г;I-33-В;I-33-Г;I-34-В;I-34-Г;I-35-В;I-35-Г;I-36-В;I-36-Г;I-37-В;I-37-Г;I-38-В;I-38-Г;I-39-В;I-39-Г;I-40-В;I-40-Г;I-41-В;I-41-Г;I-42-В;I-42-Г;I-43-В;I-43-Г;I-44-В;I-44-Г;I-45-В;I-45-Г;I-46-В;I-46-Г;I-47-В;I-47-Г;I-48-В;I-48-Г;I-49-В;I-49-Г;I-50-В;I-50-Г;I-51-В;I-51-Г;I-52-В;I-52-Г;I-53-В;I-53-Г;I-54-В;I-54-Г;I-55-В;I-55-Г;I-56-В;I-56-Г;I-57-В;I-57-Г;I-58-В;I-58-Г;I-59-В;I-59-Г;I-60-В;I-60-Г
H-1-А;H-1-Б;H-2-А;H-2-Б;H-3-А;H-3-Б;H-4-А;H-4-Б;H-5-А;H-5-Б;H-6-А;H-6-Б;H-7-А;H-7-Б;H-8-А;H-8-Б;H-9-А;H-9-Б;H-10-А;H-10-Б;H-11-А;H-11-Б;H-12-А;H-12-Б;H-13-А;H-13-Б;H-14-А;H-14-Б;H-15-А;H-15-Б;H-16-А;H-16-Б;H-17-А;H-17-Б;H-18-А;H-18-Б;H-19-А;H-19-Б;H-20-А;H-20-Б;H-21-А;H-21-Б;H-22-А;H-22-Б;H-23-А;H-23-Б;H-24-А;H-24-Б;H-25-А;H-25-Б;H-26-А;H-26-Б;H-27-А;H-27-Б;H-28-А;H-28-Б;H-29-А;H-29-Б;H-30-А;H-30-Б;H-31-А;H-31-Б;H-32-А;H-32-Б;H-33-А;H-33-Б;H-34-А;H-34-Б;H-35-А;H-35-Б;H-36-А;H-36-Б;H-37-А;H-37-Б;H-38-А;H-38-Б;H-39-А;H-39-Б;H-40-А;H-40-Б;H-41-А;H-41-Б;H-42-А;H-42-Б;H-43-А;H-43-Б;H-44-А;H-44-Б;H-45-А;H-45-Б;H-46-А;H-46-Б;H-47-А;H-47-Б;H-48-А;H-48-Б;H-49-А;H-49-Б;H-50-А;H-50-Б;H-51-А;H-51-Б;H-52-А;H-52-Б;H-53-А;H-53-Б;H-54-А;H-54-Б;H-55-А;H-55-Б;H-56-А;H-56-Б;H-57-А;H-57-Б;H-58-А;H-58-Б;H-59-А;H-59-Б;H-60-А;H-60-Б
H-1-В;H-1-Г;H-2-В;H-2-Г;H-3-В;H-3-Г;H-4-В;H-4-Г;H-5-В;H-5-Г;H-6-В;H-6-Г;H-7-В;H-7-Г;H-8-В;H-8-Г;H-9-В;H-9-Г;H-10-В;H-10-Г;H-11-В;H-11-Г;H-12-В;H-12-Г;H-13-В;H-13-Г;H-14-В;H-14-Г;H-15-В;H-15-Г;H-16-В;H-16-Г;H-17-В;H-17-Г;H-18-В;H-18-Г;H-19-В;H-19-Г;H-20-В;H-20-Г;H-21-В;H-21-Г;H-22-В;H-22-Г;H-23-В;H-23-Г;H-24-В;H-24-Г;H-25-В;H-25-Г;H-26-В;H-26-Г;H-27-В;H-27-Г;H-28-В;H-28-Г;H-29-В;H-29-Г;H-30-В;H-30-Г;H-31-В;H-31-Г;H-32-В;H-32-Г;H-33-В;H-33-Г;H-34-В;H-34-Г;H-35-В;H-35-Г;H-36-В;H-36-Г;H-37-В;H-37-Г;H-38-В;H-38-Г;H-39-В;H-39-Г;H-40-В;H-40-Г;H-41-В;H-41-Г;H-42-В;H-42-Г;H-43-В;H-43-Г;H-44-В;H-44-Г;H-45-В;H-45-Г;H-46-В;H-46-Г;H-47-В;H-47-Г;H-48-В;H-48-Г;H-49-В;H-49-Г;H-50-В;H-50-Г;H-51-В;H-51-Г;H-52-В;H-52-Г;H-53-В;H-53-Г;H-54-В;H-54-Г;H-55-В;H-55-Г;H-56-В;H-56-Г;H-57-В;H-57-Г;H-58-В;H-58-Г;H-59-В;H-59-Г;H-60-В;H-60-Г
G-1-А;G-1-Б;G-2-А;G-2-Б;G-3-А;G-3-Б;G-4-А;G-4-Б;G-5-А;G-5-Б;G-6-А;G-6-Б;G-7-А;G-7-Б;G-8-А;G-8-Б;G-9-А;G-9-Б;G-10-А;G-10-Б;G-11-А;G-11-Б;G-12-А;G-12-Б;G-13-А;G-13-Б;G-14-А;G-14-Б;G-15-А;G-15-Б;G-16-А;G-16-Б;G-17-А;G-17-Б;G-18-А;G-18-Б;G-19-А;G-19-Б;G-20-А;G-20-Б;G-21-А;G-21-Б;G-22-А;G-22-Б;G-23-А;G-23-Б;G-24-А;G-24-Б;G-25-А;G-25-Б;G-26-А;G-26-Б;G-27-А;G-27-Б;G-28-А;G-28-Б;G-29-А;G-29-Б;G-30-А;G-30-Б;G-31-А;G-31-Б;G-32-А;G-32-Б;G-33-А;G-33-Б;G-34-А;G-34-Б;G-35-А;G-35-Б;G-36-А;G-36-Б;G-37-А;G-37-Б;G-38-А;G-38-Б;G-39-А;G-39-Б;G-40-А;G-40-Б;G-41-А;G-41-Б;G-42-А;G-42-Б;G-43-А;G-43-Б;G-44-А;G-44-Б;G-45-А;G-45-Б;G-46-А;G-46-Б;G-47-А;G-47-Б;G-48-А;G-48-Б;G-49-А;G-49-Б;G-50-А;G-50-Б;G-51-А;G-51-Б;G-52-А;G-52-Б;G-53-А;G-53-Б;G-54-А;G-54-Б;G-55-А;G-55-Б;G-56-А;G-56-Б;G-57-А;G-57-Б;G-58-А;G-58-Б;G-59-А;G-59-Б;G-60-А;G-60-Б
G-1-В;G-1-Г;G-2-В;G-2-Г;G-3-В;G-3-Г;G-4-В;G-4-Г;G-5-В;G-5-Г;G-6-В;G-6-Г;G-7-В;G-7-Г;G-8-В;G-8-Г;G-9-В;G-9-Г;G-10-В;G-10-Г;G-11-В;G-11-Г;G-12-В;G-12-Г;G-13-В;G-13-Г;G-14-В;G-14-Г;G-15-В;G-15-Г;G-16-В;G-16-Г;G-17-В;G-17-Г;G-18-В;G-18-Г;G-19-В;G-19-Г;G-20-В;G-20-Г;G-21-В;G-21-Г;G-22-В;G-22-Г;G-23-В;G-23-Г;G-24-В;G-24-Г;G-25-В;G-25-Г;G-26-В;G-26-Г;G-27-В;G-27-Г;G-28-В;G-28-Г;G-29-В;G-29-Г;G-30-В;G-30-Г;G-31-В;G-31-Г;G-32-В;G-32-Г;G-33-В;G-33-Г;G-34-В;G-34-Г;G-35-В;G-35-Г;G-36-В;G-36-Г;G-37-В;G-37-Г;G-38-В;G-38-Г;G-39-В;G-39-Г;G-40-В;G-40-Г;G-41-В;G-41-Г;G-42-В;G-42-Г;G-43-В;G-43-Г;G-44-В;G-44-Г;G-45-В;G-45-Г;G-46-В;G-46-Г;G-47-В;G-47-Г;G-48-В;G-48-Г;G-49-В;G-49-Г;G-50-В;G-50-Г;G-51-В;G-51-Г;G-52-В;G-52-Г;G-53-В;G-53-Г;G-54-В;G-54-Г;G-55-В;G-55-Г;G-56-В;G-56-Г;G-57-В;G-57-Г;G-58-В;G-58-Г;G-59-В;G-59-Г;G-60-В;G-60-Г
F-1-А;F-1-Б;F-2-А;F-2-Б;F-3-А;F-3-Б;F-4-А;F-4-Б;F-5-А;F-5-Б;F-6-А;F-6-Б;F-7-А;F-7-Б;F-8-А;F-8-Б;F-9-А;F-9-Б;F-10-А;F-10-Б;F-11-А;F-11-Б;F-12-А;F-12-Б;F-13-А;F-13-Б;F-14-А;F-14-Б;F-15-А;F-15-Б;F-16-А;F-16-Б;F-17-А;F-17-Б;F-18-А;F-18-Б;F-19-А;F-19-Б;F-20-А;F-20-Б;F-21-А;F-21-Б;F-22-А;F-22-Б;F-23-А;F-23-Б;F-24-А;F-24-Б;F-25-А;F-25-Б;F-26-А;F-26-Б;F-27-А;F-27-Б;F-28-А;F-28-Б;F-29-А;F-29-Б;F-30-А;F-30-Б;F-31-А;F-31-Б;F-32-А;F-32-Б;F-33-А;F-33-Б;F-34-А;F-34-Б;F-35-А;F-35-Б;F-36-А;F-36-Б;F-37-А;F-37-Б;F-38-А;F-38-Б;F-39-А;F-39-Б;F-40-А;F-40-Б;F-41-А;F-41-Б;F-42-А;F-42-Б;F-43-А;F-43-Б;F-44-А;F-44-Б;F-45-А;F-45-Б;F-46-А;F-46-Б;F-47-А;F-47-Б;F-48-А;F-48-Б;F-49-А;F-49-Б;F-50-А;F-50-Б;F-51-А;F-51-Б;F-52-А;F-52-Б;F-53-А;F-53-Б;F-54-А;F-54-Б;F-55-А;F-55-Б;F-56-А;F-56-Б;F-57-А;F-57-Б;F-58-А;F-58-Б;F-59-А;F-59-Б;F-60-А;F-60-Б
F-1-В;F-1-Г;F-2-В;F-2-Г;F-3-В;F-3-Г;F-4-В;F-4-Г;F-5-В;F-5-Г;F-6-В;F-6-Г;F-7-В;F-7-Г;F-8-В;F-8-Г;F-9-В;F-9-Г;F-10-В;F-10-Г;F-11-В;F-11-Г;F-12-В;F-12-Г;F-13-В;F-13-Г;F-14-В;F-14-Г;F-15-В;F-15-Г;F-16-В;F-16-Г;F-17-В;F-17-Г;F-18-В;F-18-Г;F-19-В;F-19-Г;F-20-В;F-20-Г;F-21-В;F-21-Г;F-22-В;F-22-Г;F-23-В;F-23-Г;F-24-В;F-24-Г;F-25-В;F-25-Г;F-26-В;F-26-Г;F-27-В;F-27-Г;F-28-В;F-28-Г;F-29-В;F-29-Г;F-30-В;F-30-Г;F-31-В;F-31-Г;F-32-В;F-32-Г;F-33-В;F-33-Г;F-34-В;F-34-Г;F-35-В;F-35-Г;F-36-В;F-36-Г;F-37-В;F-37-Г;F-38-В;F-38-Г;F-39-В;F-39-Г;F-40-В;F-40-Г;F-41-В;F-41-Г;F-42-В;F-42-Г;F-43-В;F-43-Г;F-44-В;F-44-Г;F-45-В;F-45-Г;F-46-В;F-46-Г;F-47-В;F-47-Г;F-48-В;F-48-Г;F-49-В;F-49-Г;F-50-В;F-50-Г;F-51-В;F-51-Г;F-52-В;F-52-Г;F-53-В;F-53-Г;F-54-В;F-54-Г;F-55-В;F-55-Г;F-56-В;F-56-Г;F-57-В;F-57-Г;F-58-В;F-58-Г;F-59-В;F-59-Г;F-60-В;F-60-Г
E-1-А;E-1-Б;E-2-А;E-2-Б;E-3-А;E-3-Б;E-4-А;E-4-Б;E-5-А;E-5-Б;E-6-А;E-6-Б;E-7-А;E-7-Б;E-8-А;E-8-Б;E-9-А;E-9-Б;E-10-А;E-10-Б;E-11-А;E-11-Б;E-12-А;E-12-Б;E-13-А;E-13-Б;E-14-А;E-14-Б;E-15-А;E-15-Б;E-16-А;E-16-Б;E-17-А;E-17-Б;E-18-А;E-18-Б;E-19-А;E-19-Б;E-20-А;E-20-Б;E-21-А;E-21-Б;E-22-А;E-22-Б;E-23-А;E-23-Б;E-24-А;E-24-Б;E-25-А;E-25-Б;E-26-А;E-26-Б;E-27-А;E-27-Б;E-28-А;E-28-Б;E-29-А;E-29-Б;E-30-А;E-30-Б;E-31-А;E-31-Б;E-32-А;E-32-Б;E-33-А;E-33-Б;E-34-А;E-34-Б;E-35-А;E-35-Б;E-36-А;E-36-Б;E-37-А;E-37-Б;E-38-А;E-38-Б;E-39-А;E-39-Б;E-40-А;E-40-Б;E-41-А;E-41-Б;E-42-А;E-42-Б;E-43-А;E-43-Б;E-44-А;E-44-Б;E-45-А;E-45-Б;E-46-А;E-46-Б;E-47-А;E-47-Б;E-48-А;E-48-Б;E-49-А;E-49-Б;E-50-А;E-50-Б;E-51-А;E-51-Б;E-52-А;E-52-Б;E-53-А;E-53-Б;E-54-А;E-54-Б;E-55-А;E-55-Б;E-56-А;E-56-Б;E-57-А;E-57-Б;E-58-А;E-58-Б;E-59-А;E-59-Б;E-60-А;E-60-Б
E-1-В;E-1-Г;E-2-В;E-2-Г;E-3-В;E-3-Г;E-4-В;E-4-Г;E-5-В;E-5-Г;E-6-В;E-6-Г;E-7-В;E-7-Г;E-8-В;E-8-Г;E-9-В;E-9-Г;E-10-В;E-10-Г;E-11-В;E-11-Г;E-12-В;E-12-Г;E-13-В;E-13-Г;E-14-В;E-14-Г;E-15-В;E-15-Г;E-16-В;E-16-Г;E-17-В;E-17-Г;E-18-В;E-18-Г;E-19-В;E-19-Г;E-20-В;E-20-Г;E-21-В;E-21-Г;E-22-В;E-22-Г;E-23-В;E-23-Г;E-24-В;E-24-Г;E-25-В;E-25-Г;E-26-В;E-26-Г;E-27-В;E-27-Г;E-28-В;E-28-Г;E-29-В;E-29-Г;E-30-В;E-30-Г;E-31-В;E-31-Г;E-32-В;E-32-Г;E-33-В;E-33-Г;E-34-В;E-34-Г;E-35-В;E-35-Г;E-36-В;E-36-Г;E-37-В;E-37-Г;E-38-В;E-38-Г;E-39-В;E-39-Г;E-40-В;E-40-Г;E-41-В;E-41-Г;E-42-В;E-42-Г;E-43-В;E-43-Г;E-44-В;E-44-Г;E-45-В;E-45-Г;E-46-В;E-46-Г;E-47-В;E-47-Г;E-48-В;E-48-Г;E-49-В;E-49-Г;E-50-В;E-50-Г;E-51-В;E-51-Г;E-52-В;E-52-Г;E-53-В;E-53-Г;E-54-В;E-54-Г;E-55-В;E-55-Г;E-56-В;E-56-Г;E-57-В;E-57-Г;E-58-В;E-58-Г;E-59-В;E-59-Г;E-60-В;E-60-Г
D-1-А;D-1-Б;D-2-А;D-2-Б;D-3-А;D-3-Б;D-4-А;D-4-Б;D-5-А;D-5-Б;D-6-А;D-6-Б;D-7-А;D-7-Б;D-8-А;D-8-Б;D-9-А;D-9-Б;D-10-А;D-10-Б;D-11-А;D-11-Б;D-12-А;D-12-Б;D-13-А;D-13-Б;D-14-А;D-14-Б;D-15-А;D-15-Б;D-16-А;D-16-Б;D-17-А;D-17-Б;D-18-А;D-18-Б;D-19-А;D-19-Б;D-20-А;D-20-Б;D-21-А;D-21-Б;D-22-А;D-22-Б;D-23-А;D-23-Б;D-24-А;D-24-Б;D-25-А;D-25-Б;D-26-А;D-26-Б;D-27-А;D-27-Б;D-28-А;D-28-Б;D-29-А;D-29-Б;D-30-А;D-30-Б;D-31-А;D-31-Б;D-32-А;D-32-Б;D-33-А;D-33-Б;D-34-А;D-34-Б;D-35-А;D-35-Б;D-36-А;D-36-Б;D-37-А;D-37-Б;D-38-А;D-38-Б;D-39-А;D-39-Б;D-40-А;D-40-Б;D-41-А;D-41-Б;D-42-А;D-42-Б;D-43-А;D-43-Б;D-44-А;D-44-Б;D-45-А;D-45-Б;D-46-А;D-46-Б;D-47-А;D-47-Б;D-48-А;D-48-Б;D-49-А;D-49-Б;D-50-А;D-50-Б;D-51-А;D-51-Б;D-52-А;D-52-Б;D-53-А;D-53-Б;D-54-А;D-54-Б;D-55-А;D-55-Б;D-56-А;D-56-Б;D-57-А;D-57-Б;D-58-А;D-58-Б;D-59-А;D-59-Б;D-60-А;D-60-Б
D-1-В;D-1-Г;D-2-В;D-2-Г;D-3-В;D-3-Г;D-4-В;D-4-Г;D-5-В;D-5-Г;D-6-В;D-6-Г;D-7-В;D-7-Г;D-8-В;D-8-Г;D-9-В;D-9-Г;D-10-В;D-10-Г;D-11-В;D-11-Г;D-12-В;D-12-Г;D-13-В;D-13-Г;D-14-В;D-14-Г;D-15-В;D-15-Г;D-16-В;D-16-Г;D-17-В;D-17-Г;D-18-В;D-18-Г;D-19-В;D-19-Г;D-20-В;D-20-Г;D-21-В;D-21-Г;D-22-В;D-22-Г;D-23-В;D-23-Г;D-24-В;D-24-Г;D-25-В;D-25-Г;D-26-В;D-26-Г;D-27-В;D-27-Г;D-28-В;D-28-Г;D-29-В;D-29-Г;D-30-В;D-30-Г;D-31-В;D-31-Г;D-32-В;D-32-Г;D-33-В;D-33-Г;D-34-В;D-34-Г;D-35-В;D-35-Г;D-36-В;D-36-Г;D-37-В;D-37-Г;D-38-В;D-38-Г;D-39-В;D-39-Г;D-40-В;D-40-Г;D-41-В;D-41-Г;D-42-В;D-42-Г;D-43-В;D-43-Г;D-44-В;D-44-Г;D-45-В;D-45-Г;D-46-В;D-46-Г;D-47-В;D-47-Г;D-48-В;D-48-Г;D-49-В;D-49-Г;D-50-В;D-50-Г;D-51-В;D-51-Г;D-52-В;D-52-Г;D-53-В;D-53-Г;D-54-В;D-54-Г;D-55-В;D-55-Г;D-56-В;D-56-Г;D-57-В;D-57-Г;D-58-В;D-58-Г;D-59-В;D-59-Г;D-60-В;D-60-Г
C-1-А;C-1-Б;C-2-А;C-2-Б;C-3-А;C-3-Б;C-4-А;C-4-Б;C-5-А;C-5-Б;C-6-А;C-6-Б;C-7-А;C-7-Б;C-8-А;C-8-Б;C-9-А;C-9-Б;C-10-А;C-10-Б;C-11-А;C-11-Б;C-12-А;C-12-Б;C-13-А;C-13-Б;C-14-А;C-14-Б;C-15-А;C-15-Б;C-16-А;C-16-Б;C-17-А;C-17-Б;C-18-А;C-18-Б;C-19-А;C-19-Б;C-20-А;C-20-Б;C-21-А;C-21-Б;C-22-А;C-22-Б;C-23-А;C-23-Б;C-24-А;C-24-Б;C-25-А;C-25-Б;C-26-А;C-26-Б;C-27-А;C-27-Б;C-28-А;C-28-Б;C-29-А;C-29-Б;C-30-А;C-30-Б;C-31-А;C-31-Б;C-32-А;C-32-Б;C-33-А;C-33-Б;C-34-А;C-34-Б;C-35-А;C-35-Б;C-36-А;C-36-Б;C-37-А;C-37-Б;C-38-А;C-38-Б;C-39-А;C-39-Б;C-40-А;C-40-Б;C-41-А;C-41-Б;C-42-А;C-42-Б;C-43-А;C-43-Б;C-44-А;C-44-Б;C-45-А;C-45-Б;C-46-А;C-46-Б;C-47-А;C-47-Б;C-48-А;C-48-Б;C-49-А;C-49-Б;C-50-А;C-50-Б;C-51-А;C-51-Б;C-52-А;C-52-Б;C-53-А;C-53-Б;C-54-А;C-54-Б;C-55-А;C-55-Б;C-56-А;C-56-Б;C-57-А;C-57-Б;C-58-А;C-58-Б;C-59-А;C-59-Б;C-60-А;C-60-Б
C-1-В;C-1-Г;C-2-В;C-2-Г;C-3-В;C-3-Г;C-4-В;C-4-Г;C-5-В;C-5-Г;C-6-В;C-6-Г;C-7-В;C-7-Г;C-8-В;C-8-Г;C-9-В;C-9-Г;C-10-В;C-10-Г;C-11-В;C-11-Г;C-12-В;C-12-Г;C-13-В;C-13-Г;C-14-В;C-14-Г;C-15-В;C-15-Г;C-16-В;C-16-Г;C-17-В;C-17-Г;C-18-В;C-18-Г;C-19-В;C-19-Г;C-20-В;C-20-Г;C-21-В;C-21-Г;C-22-В;C-22-Г;C-23-В;C-23-Г;C-24-В;C-24-Г;C-25-В;C-25-Г;C-26-В;C-26-Г;C-27-В;C-27-Г;C-28-В;C-28-Г;C-29-В;C-29-Г;C-30-В;C-30-Г;C-31-В;C-31-Г;C-32-В;C-32-Г;C-33-В;C-33-Г;C-34-В;C-34-Г;C-35-В;C-35-Г;C-36-В;C-36-Г;C-37-В;C-37-Г;C-38-В;C-38-Г;C-39-В;C-39-Г;C-40-В;C-40-Г;C-41-В;C-41-Г;C-42-В;C-42-Г;C-43-В;C-43-Г;C-44-В;C-44-Г;C-45-В;C-45-Г;C-46-В;C-46-Г;C-47-В;C-47-Г;C-48-В;C-48-Г;C-49-В;C-49-Г;C-50-В;C-50-Г;C-51-В;C-51-Г;C-52-В;C-52-Г;C-53-В;C-53-Г;C-54-В;C-54-Г;C-55-В;C-55-Г;C-56-В;C-56-Г;C-57-В;C-57-Г;C-58-В;C-58-Г;C-59-В;C-59-Г;C-60-В;C-60-Г
B-1-А;B-1-Б;B-2-А;B-2-Б;B-3-А;B-3-Б;B-4-А;B-4-Б;B-5-А;B-5-Б;B-6-А;B-6-Б;B-7-А;B-7-Б;B-8-А;B-8-Б;B-9-А;B-9-Б;B-10-А;B-10-Б;B-11-А;B-11-Б;B-12-А;B-12-Б;B-13-А;B-13-Б;B-14-А;B-14-Б;B-15-А;B-15-Б;B-16-А;B-16-Б;B-17-А;B-17-Б;B-18-А;B-18-Б;B-19-А;B-19-Б;B-20-А;B-20-Б;B-21-А;B-21-Б;B-22-А;B-22-Б;B-23-А;B-23-Б;B-24-А;B-24-Б;B-25-А;B-25-Б;B-26-А;B-26-Б;B-27-А;B-27-Б;B-28-А;B-28-Б;B-29-А;B-29-Б;B-30-А;B-30-Б;B-31-А;B-31-Б;B-32-А;B-32-Б;B-33-А;B-33-Б;B-34-А;B-34-Б;B-35-А;B-35-Б;B-36-А;B-36-Б;B-37-А;B-37-Б;B-38-А;B-38-Б;B-39-А;B-39-Б;B-40-А;B-40-Б;B-41-А;B-41-Б;B-42-А;B-42-Б;B-43-А;B-43-Б;B-44-А;B-44-Б;B-45-А;B-45-Б;B-46-А;B-46-Б;B-47-А;B-47-Б;B-48-А;B-48-Б;B-49-А;B-49-Б;B-50-А;B-50-Б;B-51-А;B-51-Б;B-52-А;B-52-Б;B-53-А;B-53-Б;B-54-А;B-54-Б;B-55-А;B-55-Б;B-56-А;B-56-Б;B-57-А;B-57-Б;B-58-А;B-58-Б;B-59-А;B-59-Б;B-60-А;B-60-Б
